Date,team1,team2
2019-06-09,CHC,STL
2019-06-09,PIT,MIL
2019-06-09,COL,NYM
2019-06-09,TOR,ARI
2019-06-09,CIN,PHI
2019-06-09,KCR,CHW
2019-06-09,SEA,LAA
2019-06-10,LAA,LAD
2019-06-10,PIT,ATL
2019-06-10,TBR,OAK
2019-06-10,CHW,WSN
2019-06-10,MIA,STL
2019-06-10,PHI,ARI
2019-06-10,TEX,BOS
2019-06-10,COL,CHC
2019-06-11,MIL,HOU
2019-06-11,LAA,LAD
2019-06-11,NYM,NYY
2019-06-11,NYM,NYY
2019-06-11,SEA,MIN
2019-06-11,PIT,ATL
2019-06-11,TBR,OAK
2019-06-11,CIN,CLE
2019-06-11,CHW,WSN
2019-06-11,MIA,STL
2019-06-11,PHI,ARI
2019-06-11,TEX,BOS
2019-06-11,COL,CHC
