attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner,home,road,home_team_runs,road_team_runs,team,cum_runs_scored,cum_runs_allowed,ytd_rd,winning_team,league_home_team_runs
,CHN/CHN202008160,"Sunday, Aug 16",2020-08-16,1,Day,19,3:11,-3.5,9,Home,Adam,MIL,1,13-6,Loss,6,5,Hader,---,Yardley,CHC,MIL,5,6,Chicago Cubs,96,79,0.8947368421052632,MIL,
,CHN/CHN202008171,"Monday, Aug 17 (1)",2020-08-17,1,Day,20,2:03,-3.5,7,Home,Hendricks,STL,1,13-7,Loss,3,1,Miller,----,Gallegos,CHC,STL,1,3,Chicago Cubs,97,82,0.75,STL,
,CHN/CHN202008172,"Monday, Aug 17 (2)",2020-08-17,2,Night,21,2:33,-3.5,7,Home,Webb,STL,1,14-7,Win,4,5,Jeffress,+,Underwood,CHC,STL,5,4,Chicago Cubs,102,86,0.7619047619047619,CHC,
,CHN/CHN202008180,"Tuesday, Aug 18",2020-08-18,1,Night,22,4:09,-4.5,9,Home,Ponce de Leon,STL,1,15-7,Win,3,6,Wick,++,Darvish,CHC,STL,6,3,Chicago Cubs,108,89,0.8636363636363636,CHC,
,CHN/CHN202008191,"Wednesday, Aug 19 (1)",2020-08-19,1,Day,23,3:01,-4.0,7,Home,Mills,STL,1,15-8,Loss,9,3,,-,Webb,CHC,STL,3,9,Chicago Cubs,111,98,0.5652173913043478,STL,
,CHN/CHN202008192,"Wednesday, Aug 19 (2)",2020-08-19,2,Day,24,2:26,-4.0,7,Home,Miller,STL,1,16-8,Win,2,4,Kimbrel,+,Jeffress,CHC,STL,4,2,Chicago Cubs,115,100,0.625,CHC,
,DET/DET202008240,"Monday, Aug 24",2020-08-24,1,Night,28,3:01,-3.0,9,Away,Mize,DET,1,18-10,Win,3,9,,++,Mills,DET,CHC,3,9,Chicago Cubs,131,121,0.35714285714285715,CHC,
,DET/DET202008250,"Tuesday, Aug 25",2020-08-25,1,Night,29,3:13,-3.0,9,Away,Chatwood,DET,1,18-11,Loss,7,1,,-,Turnbull,DET,CHC,7,1,Chicago Cubs,132,128,0.13793103448275862,DET,
,DET/DET202008260,"Wednesday, Aug 26",2020-08-26,1,Night,30,3:23,-2.0,9,Away,Tepera,DET,1,18-12,Loss,7,6,,--,Jimenez,DET,CHC,7,6,Chicago Cubs,138,135,0.1,DET,
,CIN/CIN202008280,"Friday, Aug 28",2020-08-28,1,Night,31,2:57,-3.0,9,Away,Hendricks,CIN,1,18-13,Loss,6,5,Iglesias,---,Mahle,CIN,CHC,6,5,Chicago Cubs,143,141,0.06451612903225806,CIN,
,CIN/CIN202008291,"Saturday, Aug 29 (1)",2020-08-29,1,Day,32,2:47,-3.5,7,Away,Bauer,CIN,1,19-13,Win,0,3,Jeffress,+,Darvish,CIN,CHC,0,3,Chicago Cubs,146,141,0.15625,CHC,
,CIN/CIN202008292,"Saturday, Aug 29 (2)",2020-08-29,2,Night,33,2:53,-3.5,7,Away,Kimbrel,CIN,1,19-14,Loss,6,5,,-,Kuhnel,CIN,CHC,6,5,Chicago Cubs,151,147,0.12121212121212122,CIN,
,CIN/CIN202008300,"Sunday, Aug 30",2020-08-30,1,Day,34,3:26,-3.5,9,Away,Castillo,CIN,1,20-14,Win,1,10,,+,Rea,CIN,CHC,1,10,Chicago Cubs,161,148,0.38235294117647056,CHC,
,PIT/PIT202009010,"Tuesday, Sep 1",2020-09-01,1,Night,35,4:10,-3.0,11,Away,Crick,PIT,1,21-14,Win,7,8,,++,Jeffress,PIT,CHC,7,8,Chicago Cubs,169,155,0.4,CHC,
,PIT/PIT202009020,"Wednesday, Sep 2",2020-09-02,1,Night,36,3:15,-4.0,9,Away,Musgrove,PIT,1,22-14,Win,2,8,,+++,Hendricks,PIT,CHC,2,8,Chicago Cubs,177,157,0.5555555555555556,CHC,
